id,instance_id,user_id,status,waitlist,created_at,updated_at,sync_completed_on,async_completed_on,waitlisted_on,enrolled_on,canceled_on,absent_on,async_active_on
4474,231,479,cancel,,2023-04-11 16:49:25.333086,2023-04-11 21:18:06.266232,,,,,,,
4475,232,1325,cancel,,2023-04-11 17:36:56.114729,2023-04-12 14:02:03.373151,,,,,,,
4476,158,1306,absent,,2023-04-11 18:59:24.415636,2023-04-12 18:38:49.065132,,,,,,,
4477,233,1326,waitlist,37,2023-04-11 20:07:18.416632,2023-04-13 23:08:44.449260,,,,,,,
4478,237,39,enroll,,2023-04-11 20:37:08.948228,2023-04-11 20:37:08.948228,,,,,,,
4479,230,15,active,,2023-04-11 22:31:09.038892,2023-04-11 22:31:10.979717,,,,,,,
4480,233,1097,waitlist,38,2023-04-11 22:47:26.121418,2023-04-13 23:08:44.456113,,,,,,,
4481,233,1327,waitlist,39,2023-04-12 00:00:15.911186,2023-04-13 23:08:44.463597,,,,,,,
4482,195,1328,active,,2023-04-12 03:01:52.852789,2023-04-12 03:01:54.476543,,,,,,,
4483,237,1084,enroll,,2023-04-12 12:42:19.066056,2023-04-12 12:42:19.066056,,,,,,,
4484,233,401,waitlist,40,2023-04-12 13:50:56.239088,2023-04-13 23:08:44.472101,,,,,,,
4485,233,870,waitlist,41,2023-04-12 14:33:50.488675,2023-04-13 23:08:44.478412,,,,,,,
4486,232,1329,enroll,,2023-04-12 14:56:26.248563,2023-04-12 14:56:26.248563,,,,,,,
4487,232,1330,cancel,,2023-04-12 15:05:05.435577,2023-04-12 15:06:03.480578,,,,,,,
4488,233,1226,waitlist,42,2023-04-12 15:14:40.276821,2023-04-13 23:08:44.484972,,,,,,,
4489,233,1331,waitlist,43,2023-04-12 16:14:48.403485,2023-04-13 23:08:44.491907,,,,,,,
4490,233,1319,waitlist,44,2023-04-12 17:58:18.943190,2023-04-13 23:08:44.498227,,,,,,,
4491,190,1332,active,,2023-04-12 18:44:17.615782,2023-04-12 18:44:19.566912,,,,,,,
4492,233,1273,waitlist,45,2023-04-12 19:31:27.616248,2023-04-13 23:08:44.505976,,,,,,,
4493,232,1040,enroll,,2023-04-12 19:43:23.161447,2023-04-12 19:43:23.161447,,,,,,,
4494,233,55,waitlist,46,2023-04-12 20:11:09.101004,2023-04-13 23:08:44.512798,,,,,,,
4495,233,1320,waitlist,47,2023-04-13 00:31:09.502391,2023-04-13 23:08:44.519099,,,,,,,
4496,233,596,waitlist,48,2023-04-13 02:02:31.305711,2023-04-13 23:08:44.527233,,,,,,,
4497,183,596,enroll,,2023-04-13 02:03:24.570168,2023-04-13 02:03:24.570168,,,,,,,
4498,233,1333,waitlist,49,2023-04-13 02:17:48.047575,2023-04-13 23:08:44.534171,,,,,,,
